"id","name","description","created_at","updated_at"
1,Sedan,Passenger cars with a three-box configuration offering comfort and fuel efficiency.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
2,SUV,"Sport Utility Vehicles designed for versatility, off-road capability, and spacious interiors.",2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
3,Hatchback,"Compact cars with a rear door that swings upward, providing convenient cargo access.",2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
4,Coupe,Two-door sporty cars focused on performance and sleek design.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
5,Convertible,"Cars with retractable roofs, allowing open-air driving experiences.",2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
6,Pickup Truck,Vehicles with open cargo areas designed for hauling and towing.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
7,Van,Large vehicles ideal for transporting people or goods with ample storage capacity.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
8,Crossover,Cars combining SUV features with a unibody platform for better comfort and fuel economy.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
9,Electric,Vehicles powered entirely by electric motors and rechargeable batteries.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
10,Hybrid,Cars combining internal combustion engines with electric propulsion for improved efficiency.,2025-10-19 02:37:07.540,2025-10-19 02:37:07.540
